	SHH_WT_models24206.py	SHH_WT_models34817.py	SHH_WT_models32722.py	SHH_WT_models18557.py	SHH_WT_models5307.py	SHH_WT_models12433.py	SHH_WT_models8984.py	SHH_WT_models41859.py	SHH_WT_models31879.py	SHH_WT_models41538.py	SHH_WT_models19903.py	SHH_WT_models28244.py	SHH_WT_models4070.py	SHH_WT_models32291.py	SHH_WT_models30093.py	SHH_WT_models27032.py	SHH_WT_models5926.py	SHH_WT_models40865.py	SHH_WT_models1811.py	SHH_WT_models49440.py	SHH_WT_models38204.py	SHH_WT_models45114.py	SHH_WT_models13608.py	SHH_WT_models21025.py	SHH_WT_models10580.py	SHH_WT_models30402.py	SHH_WT_models7880.py	SHH_WT_models47890.py	SHH_WT_models17286.py	SHH_WT_models4621.py	SHH_WT_models28664.py	SHH_WT_models49996.py	SHH_WT_models9944.py	SHH_WT_models31832.py	SHH_WT_models9283.py	SHH_WT_models1166.py	SHH_WT_models47710.py	SHH_WT_models6373.py	SHH_WT_models17316.py	SHH_WT_models17399.py	SHH_WT_models34543.py	SHH_WT_models27717.py	SHH_WT_models23029.py	SHH_WT_models15986.py	SHH_WT_models17583.py	SHH_WT_models35708.py	SHH_WT_models32644.py	SHH_WT_models488.py	SHH_WT_models29228.py	SHH_WT_models44997.py	SHH_WT_models39351.py	SHH_WT_models43041.py	SHH_WT_models11029.py	SHH_WT_models45774.py	SHH_WT_models27725.py	SHH_WT_models1192.py	SHH_WT_models18902.py	SHH_WT_models2238.py	SHH_WT_models22421.py	SHH_WT_models32436.py	SHH_WT_models35629.py	SHH_WT_models44296.py	SHH_WT_models38759.py	SHH_WT_models47603.py	SHH_WT_models34183.py	SHH_WT_models16149.py	SHH_WT_models36378.py	SHH_WT_models19436.py	SHH_WT_models30779.py	SHH_WT_models6662.py	SHH_WT_models33732.py	SHH_WT_models37228.py	SHH_WT_models40839.py	SHH_WT_models42616.py	SHH_WT_models7718.py	SHH_WT_models37719.py	SHH_WT_models40490.py	SHH_WT_models7344.py	SHH_WT_models30347.py	SHH_WT_models19239.py	SHH_WT_models491.py	SHH_WT_models1588.py	SHH_WT_models15435.py	SHH_WT_models10615.py	SHH_WT_models17200.py	SHH_WT_models357.py	SHH_WT_models37141.py	SHH_WT_models13634.py	SHH_WT_models25278.py	SHH_WT_models8764.py	SHH_WT_models40786.py	SHH_WT_models41853.py	SHH_WT_models3827.py	SHH_WT_models45309.py	
SHH_WT_models45774.py	3878.534	3748.626	734.785	758.655	870.937	3805.102	914.495	3824.833	3923.143	3933.48	1671.062	3920.267	3788.98	3825.852	3862.288	3787.373	3918.758	585.998	1639.315	3835.483	3819.89	3862.214	518.284	3830.023	803.651	3811.38	758.022	702.602	727.144	763.821	573.419	760.565	3836.998	654.486	3730.641	806.62	3759.992	630.545	674.165	509.648	3793.268	3774.11	3798.928	3750.736	483.779	3801.921	3889.408	3889.1	564.796	3785.831	3949.295	635.865	552.669	0.0	3802.294	3947.913	513.51	3819.989	3883.058	616.833	750.252	3765.648	3769.275	890.844	3832.289	633.749	695.778	594.017	3809.094	370.955	3863.341	3809.217	740.432	3778.33	688.48	800.391	3765.798	3779.867	469.194	3728.489	3997.637	612.948	4057.377	1523.289	982.598	4161.972	3744.509	710.689	1409.508	4094.245	1830.722	1433.486	1396.889	4125.709	
SHH_WT_models27725.py	922.913	753.518	3874.879	3764.295	3870.8	764.983	3776.944	639.885	773.038	854.342	4025.266	850.561	913.931	721.592	554.395	846.635	629.319	3777.421	4156.762	305.254	405.628	633.97	3802.593	632.592	3786.846	835.744	3717.502	3745.323	3762.235	3745.512	3827.416	3760.449	436.506	3920.352	871.477	3798.437	468.09	3834.666	3708.713	3822.275	668.432	401.406	396.391	414.462	3727.778	297.196	604.037	512.368	3714.095	377.989	697.007	3737.014	3763.716	3802.294	0.0	589.863	3722.954	304.917	575.152	3820.581	3722.035	534.256	451.217	3661.316	668.233	3794.476	3769.505	3749.093	265.5	3726.879	740.911	520.514	3832.132	671.123	3736.687	3764.443	447.688	625.962	3710.837	779.202	1213.737	3699.528	1330.47	4169.901	3781.854	1313.471	710.807	3672.711	4151.039	2000.008	4308.485	4012.676	3998.577	1323.422	
SHH_WT_models1192.py	731.529	869.922	4024.551	3918.102	4016.899	838.142	3916.105	680.494	534.499	859.534	4155.439	819.207	887.866	684.313	380.561	924.23	312.047	3916.148	4223.248	572.128	497.714	696.714	3962.501	461.1	3959.003	912.619	3870.784	3913.245	3925.419	3889.606	3990.249	3912.586	389.516	4061.059	940.781	3974.766	633.916	3977.585	3862.407	3972.625	584.384	578.503	628.015	601.844	3874.015	601.297	669.32	383.005	3868.131	540.043	361.925	3918.257	3905.352	3947.913	589.863	0.0	3895.309	524.89	367.287	3979.173	3882.657	746.801	684.521	3807.135	723.508	3931.534	3913.74	3902.831	607.989	3874.316	749.941	651.909	3965.605	677.888	3920.505	3931.711	582.831	577.051	3870.273	729.472	1300.433	3864.033	1422.532	4326.456	3957.093	1239.948	824.961	3844.7	4301.993	2007.835	4408.509	4185.706	4171.78	1230.271	
SHH_WT_models18902.py	3866.022	3717.189	932.378	866.813	839.041	3764.27	780.631	3779.856	3890.944	3886.074	1564.326	3868.433	3762.78	3786.692	3812.916	3742.948	3877.65	480.712	1622.464	3762.158	3760.025	3806.168	327.799	3789.002	581.093	3767.328	467.093	803.679	420.547	525.769	434.644	888.235	3780.021	573.42	3691.356	859.378	3714.488	468.766	388.529	398.968	3754.029	3714.021	3730.643	3698.185	333.61	3733.314	3816.612	3834.935	349.996	3721.507	3900.734	404.671	373.026	513.51	3722.954	3895.309	0.0	3742.791	3831.667	489.651	496.239	3701.53	3707.85	959.632	3775.61	500.993	538.305	367.037	3722.843	373.795	3811.316	3742.625	663.19	3736.507	367.247	548.349	3705.393	3739.941	323.013	3694.097	3957.105	422.226	4014.504	1523.489	1057.397	4120.528	3701.581	389.323	1387.818	4077.751	1853.53	1339.053	1312.892	4094.065	
SHH_WT_models2238.py	841.245	741.407	3889.163	3765.062	3884.238	710.062	3786.232	589.797	694.948	853.338	4034.733	819.617	855.908	673.694	493.141	803.783	586.341	3797.449	4171.249	308.787	451.907	578.594	3826.017	574.386	3800.005	843.73	3729.613	3755.619	3777.026	3762.638	3853.383	3758.91	437.338	3941.685	812.775	3806.459	522.458	3859.267	3721.245	3841.625	640.417	467.661	491.784	464.854	3741.78	415.834	608.244	485.172	3726.192	436.689	646.876	3751.746	3781.819	3819.989	304.917	524.89	3742.791	0.0	534.025	3846.819	3736.319	615.623	501.198	3660.444	705.18	3813.979	3784.288	3770.788	341.839	3740.727	638.885	516.972	3852.194	678.598	3753.187	3782.379	467.038	629.715	3729.231	745.299	1181.305	3715.356	1299.923	4167.226	3779.396	1253.165	743.355	3693.208	4153.085	1964.526	4310.108	4008.883	3994.266	1263.431	
SHH_WT_models22421.py	811.407	907.772	3965.353	3860.824	3964.9	899.684	3861.535	730.705	529.737	882.11	4122.446	844.814	956.125	751.853	352.873	1025.21	327.222	3852.298	4193.704	604.655	463.0	824.45	3901.058	428.606	3908.444	925.657	3813.7	3851.919	3865.462	3828.206	3928.53	3856.255	325.77	4009.106	1016.838	3924.036	505.205	3912.526	3802.503	3909.866	593.759	491.03	583.531	521.123	3813.847	558.452	635.073	386.327	3808.465	420.463	429.56	3862.757	3843.717	3883.058	575.152	367.287	3831.667	534.025	0.0	3917.584	3828.295	709.586	626.397	3751.008	769.102	3868.372	3851.486	3841.742	532.469	3808.103	843.508	655.818	3901.57	550.973	3865.416	3871.442	460.016	466.507	3801.847	640.33	1373.101	3809.889	1501.159	4262.461	3892.684	1326.144	794.021	3782.309	4238.755	2088.456	4356.518	4130.134	4113.756	1304.81	
SHH_WT_models32436.py	3948.439	3812.483	1017.733	1017.851	893.033	3872.166	771.056	3880.822	3946.013	3933.072	1511.833	3913.405	3872.607	3896.352	3894.057	3854.788	3943.873	408.501	1483.391	3859.687	3843.008	3915.592	308.033	3887.57	641.481	3836.853	575.273	980.97	507.939	475.005	248.642	1104.36	3874.597	425.323	3801.075	1029.717	3789.055	295.214	526.589	293.329	3860.076	3799.297	3815.339	3784.646	556.882	3819.86	3884.11	3926.519	533.073	3820.45	3965.163	595.252	491.769	616.833	3820.581	3979.173	489.651	3846.819	3917.584	0.0	606.127	3780.831	3796.199	1143.769	3847.021	333.556	440.934	497.779	3826.621	554.079	3928.593	3831.906	532.754	3820.723	529.018	498.254	3802.375	3833.582	484.224	3799.901	4050.012	556.95	4105.131	1467.116	1227.324	4204.046	3790.713	530.648	1294.736	4120.615	1769.161	1359.445	1362.943	4174.788	
SHH_WT_models35629.py	3869.012	3735.746	1068.687	934.548	784.068	3767.841	585.169	3770.323	3867.376	3855.857	1369.022	3832.759	3778.988	3796.583	3802.218	3755.519	3859.375	510.424	1544.462	3759.1	3758.297	3796.234	485.318	3793.823	430.81	3759.256	314.578	890.132	364.078	418.929	555.928	937.128	3773.25	663.847	3704.666	949.186	3713.647	597.348	288.234	595.196	3762.935	3720.625	3730.118	3699.213	466.299	3729.25	3794.625	3821.917	384.971	3732.257	3876.333	437.77	475.202	750.252	3722.035	3882.657	496.239	3736.319	3828.295	606.127	0.0	3704.494	3708.981	1003.392	3761.215	533.92	491.908	462.447	3726.059	598.027	3807.9	3739.617	635.448	3745.158	496.216	440.509	3714.647	3755.397	572.362	3718.736	3956.357	520.756	4012.063	1499.186	1078.405	4115.705	3702.573	386.049	1344.08	4063.697	1808.209	1209.096	1197.254	4093.886	
SHH_WT_models44296.py	938.922	754.054	3825.235	3723.198	3835.473	962.155	3725.665	745.636	844.092	825.291	3965.899	763.876	1008.747	861.726	530.758	839.264	725.398	3727.213	4087.248	474.819	457.371	790.155	3765.73	703.978	3769.056	537.91	3689.405	3716.392	3731.339	3698.278	3786.573	3733.798	601.694	3878.24	888.593	3781.99	488.547	3790.277	3683.182	3780.74	815.51	457.563	375.008	469.495	3706.871	426.712	571.757	610.532	3689.355	509.448	789.671	3732.414	3738.789	3765.648	534.256	746.801	3701.53	615.623	709.586	3780.831	3704.494	0.0	385.924	3625.71	402.058	3745.166	3722.818	3731.255	523.018	3698.612	948.905	444.558	3783.884	561.13	3727.4	3725.755	613.641	717.216	3681.867	856.492	1259.215	3688.337	1397.252	4122.282	3757.485	1328.268	449.406	3656.757	4106.833	1734.377	4235.188	4001.871	3990.074	1341.33	
SHH_WT_models38759.py	858.538	705.527	3833.933	3728.502	3842.809	850.642	3740.468	659.046	790.643	825.484	3990.107	787.48	900.384	722.808	494.653	802.161	666.443	3739.028	4112.952	380.235	398.756	744.381	3778.832	594.143	3779.52	656.96	3699.957	3716.479	3745.415	3716.921	3801.034	3732.325	451.903	3894.812	823.515	3785.918	395.806	3807.131	3690.93	3794.276	676.185	362.784	315.542	309.628	3709.406	299.685	586.731	538.45	3694.463	421.587	784.592	3734.796	3745.436	3769.275	451.217	684.521	3707.85	501.198	626.397	3796.199	3708.981	385.924	0.0	3625.629	517.34	3761.285	3734.067	3735.997	424.382	3701.81	855.607	398.863	3798.99	501.075	3734.899	3741.154	486.715	578.748	3690.688	716.837	1242.325	3690.219	1386.879	4131.649	3754.917	1345.77	451.461	3665.201	4116.64	1825.071	4251.098	4001.715	3987.339	1346.081	
SHH_WT_models47603.py	3745.359	3568.442	754.405	491.056	884.138	3625.811	866.035	3648.201	3815.445	3839.576	1471.365	3810.973	3590.568	3653.583	3723.866	3589.84	3803.795	936.061	1676.577	3687.749	3693.013	3680.336	996.089	3685.574	953.877	3670.356	987.501	457.778	998.05	1042.063	1045.037	523.35	3690.59	1153.782	3513.67	727.398	3635.708	1178.406	973.232	1059.521	3631.915	3653.188	3670.866	3612.085	935.964	3668.75	3782.735	3739.55	944.923	3657.94	3833.441	922.511	1079.483	890.844	3661.316	3807.135	959.632	3660.444	3751.008	1143.769	1003.392	3625.71	3625.629	0.0	3696.695	1144.968	995.853	1129.467	3673.442	933.691	3656.235	3674.878	1099.465	3645.876	1062.557	1019.458	3625.542	3651.288	976.821	3574.266	3772.749	986.912	3845.152	1490.606	545.146	3937.38	3585.239	1117.256	1490.961	3924.817	1737.255	1305.853	1284.257	3900.002	
SHH_WT_models34183.py	852.149	767.031	3890.325	3797.363	3874.874	945.272	3772.586	722.583	810.448	756.867	3990.539	677.726	955.497	830.455	513.599	803.468	668.918	3779.495	4098.173	552.554	472.628	739.057	3827.466	686.766	3837.329	533.617	3747.773	3791.856	3796.27	3754.082	3852.758	3806.729	631.201	3937.342	892.408	3861.327	566.807	3848.895	3748.609	3846.556	805.133	545.273	455.67	529.286	3768.501	515.864	581.345	593.41	3761.86	587.668	737.301	3810.334	3793.559	3832.289	668.233	723.508	3775.61	705.18	769.102	3847.021	3761.215	402.058	517.34	3696.695	0.0	3798.172	3777.337	3792.79	657.39	3765.224	927.597	416.94	3827.462	593.223	3809.886	3791.099	705.305	721.039	3749.531	886.314	1269.14	3771.779	1403.565	4184.621	3826.618	1330.783	476.927	3732.471	4165.28	1659.3	4274.231	4064.301	4053.016	1352.008	
SHH_WT_models16149.py	3895.68	3780.152	1071.624	1027.0	909.651	3836.452	706.631	3838.319	3894.762	3880.519	1514.025	3862.059	3835.117	3858.295	3841.078	3820.659	3892.132	369.197	1531.383	3823.124	3800.366	3876.026	381.841	3839.259	665.267	3788.217	518.299	1028.591	484.593	406.426	383.668	1117.901	3832.538	512.098	3772.762	1097.515	3749.783	310.176	459.961	340.468	3821.259	3760.649	3776.977	3747.824	516.585	3785.869	3833.226	3879.133	457.199	3781.509	3912.308	646.26	445.472	633.749	3794.476	3931.534	500.993	3813.979	3868.372	333.556	533.92	3745.166	3761.285	1144.968	3798.172	0.0	352.284	483.289	3793.944	521.311	3896.22	3788.302	488.361	3774.172	575.648	452.146	3770.077	3792.989	488.67	3764.525	4027.237	597.861	4079.642	1494.968	1234.435	4173.661	3747.357	487.487	1307.358	4070.12	1789.053	1372.561	1362.922	4144.521	
SHH_WT_models36378.py	3871.151	3744.705	1066.095	942.139	843.944	3797.073	563.017	3799.559	3879.564	3862.695	1424.809	3842.262	3794.027	3822.236	3821.248	3782.01	3878.606	335.031	1532.029	3797.371	3782.454	3839.632	471.407	3814.28	617.452	3761.911	454.816	919.187	437.047	377.98	435.703	1023.453	3805.637	632.125	3732.924	1071.274	3726.94	506.043	410.554	470.157	3788.957	3741.749	3756.823	3721.401	561.455	3761.277	3818.463	3852.923	462.115	3759.566	3900.914	623.847	513.109	695.778	3769.505	3913.74	538.305	3784.288	3851.486	440.934	491.908	3722.818	3734.067	995.853	3777.337	352.284	0.0	596.42	3772.365	537.103	3853.626	3767.664	554.413	3754.122	624.356	355.326	3746.223	3771.723	515.828	3733.265	3979.121	574.818	4031.584	1496.744	1123.516	4130.532	3718.244	556.868	1321.893	4031.272	1770.347	1305.624	1314.154	4100.454	
SHH_WT_models19436.py	3889.75	3764.835	1015.312	1005.887	845.26	3802.003	801.013	3807.773	3885.193	3880.395	1525.817	3859.872	3806.45	3823.091	3825.335	3795.908	3877.48	527.065	1549.892	3789.463	3774.518	3839.893	385.39	3812.907	609.636	3793.067	460.405	965.113	469.481	477.3	514.202	1026.018	3796.159	575.66	3742.934	952.948	3731.362	422.739	410.571	455.203	3784.057	3735.932	3750.637	3721.639	300.002	3753.913	3816.469	3849.382	419.62	3746.384	3894.085	482.199	265.875	594.017	3749.093	3902.831	367.037	3770.788	3841.742	497.779	462.447	3731.255	3735.997	1129.467	3792.79	483.289	596.42	0.0	3748.843	459.895	3850.113	3762.664	619.236	3759.255	452.026	617.062	3726.602	3761.913	425.982	3729.419	4005.919	477.733	4062.566	1525.165	1191.202	4160.864	3733.776	357.642	1382.397	4108.825	1836.008	1350.676	1320.86	4137.167	
SHH_WT_models30779.py	972.002	852.498	3881.397	3772.658	3873.194	878.434	3779.762	739.57	813.599	908.577	4024.608	876.616	1001.303	802.358	531.616	925.382	641.893	3777.857	4152.378	330.388	400.077	735.146	3804.533	629.842	3791.658	864.19	3715.636	3753.63	3758.516	3744.198	3832.016	3770.059	444.087	3923.081	953.517	3808.359	502.331	3833.575	3708.615	3822.901	714.46	375.85	371.648	428.29	3729.324	332.476	568.695	534.614	3717.942	339.066	711.975	3742.453	3761.421	3809.094	265.5	607.989	3722.843	341.839	532.469	3826.621	3726.059	523.018	424.382	3673.442	657.39	3793.944	3772.365	3748.843	0.0	3728.243	834.074	463.841	3832.664	632.749	3742.216	3766.786	412.05	597.727	3711.667	789.136	1288.985	3710.365	1417.485	4177.13	3792.501	1353.969	707.198	3676.04	4157.801	2035.033	4305.805	4024.807	4007.68	1367.296	
SHH_WT_models6662.py	3821.469	3695.043	916.327	831.189	899.386	3743.081	840.189	3759.842	3861.327	3868.108	1649.342	3854.684	3729.724	3758.471	3789.85	3724.319	3850.867	514.042	1694.324	3762.112	3749.491	3796.207	472.161	3760.159	719.035	3750.298	593.728	780.832	536.628	617.5	538.935	824.523	3761.268	678.67	3668.716	894.538	3695.444	569.239	480.739	415.723	3723.21	3704.176	3726.136	3683.708	339.349	3729.565	3812.409	3815.746	394.139	3709.098	3880.257	543.144	399.571	370.955	3726.879	3874.316	373.795	3740.727	3808.103	554.079	598.027	3698.612	3701.81	933.691	3765.224	521.311	537.103	459.895	3728.243	0.0	3795.063	3736.075	728.424	3711.555	570.723	655.324	3690.688	3710.48	300.421	3661.532	3940.326	457.735	3998.536	1585.786	1062.563	4098.814	3681.59	520.335	1445.081	4047.457	1896.013	1422.283	1386.765	4064.955	
SHH_WT_models33732.py	694.075	608.435	3917.095	3787.665	3943.255	490.489	3847.379	462.449	800.054	976.675	4119.076	963.294	500.702	488.838	760.606	577.395	773.233	3864.688	4268.122	675.764	805.25	407.922	3899.379	660.226	3867.205	957.873	3808.533	3783.17	3856.96	3843.261	3932.784	3775.123	746.289	4030.197	548.103	3836.236	823.977	3946.011	3790.521	3913.548	629.502	854.897	883.967	792.411	3801.581	822.537	933.285	655.973	3783.682	812.758	840.009	3810.362	3860.653	3863.341	740.911	749.941	3811.316	638.885	843.508	3928.593	3807.9	948.905	855.607	3656.235	927.597	3896.22	3853.626	3850.113	834.074	3795.063	0.0	854.209	3926.767	936.491	3817.936	3847.038	853.668	855.539	3791.031	762.244	1035.663	3769.738	1135.183	4183.593	3771.572	1141.771	884.67	3768.224	4185.646	1848.534	4357.595	4019.484	4003.36	1151.369	
SHH_WT_models37228.py	827.299	776.162	3877.793	3781.431	3866.564	894.607	3773.545	708.793	786.936	797.13	4007.906	760.641	914.135	752.424	435.871	833.231	636.363	3772.376	4118.324	410.022	343.506	748.457	3809.364	568.032	3819.745	650.696	3727.682	3768.655	3776.028	3744.668	3839.338	3782.353	501.874	3927.446	882.739	3834.348	463.61	3835.012	3725.019	3827.505	689.58	377.943	275.351	397.594	3740.654	366.068	587.949	517.262	3735.347	424.221	763.405	3779.659	3771.41	3809.217	520.514	651.909	3742.625	516.972	655.818	3831.906	3739.617	444.558	398.863	3674.878	416.94	3788.302	3767.664	3762.664	463.841	3736.075	854.209	0.0	3820.247	460.952	3776.671	3779.822	504.164	559.975	3718.797	738.971	1278.629	3738.323	1409.641	4173.122	3800.356	1352.921	533.662	3701.142	4155.162	1838.974	4280.072	4043.79	4028.485	1367.8	
SHH_WT_models40839.py	3926.949	3816.007	943.79	1024.276	681.199	3868.774	561.372	3858.87	3901.942	3883.667	1285.12	3864.338	3875.64	3906.126	3873.928	3864.885	3913.64	446.838	1268.506	3855.265	3835.047	3898.293	502.19	3875.303	646.12	3813.278	565.388	1022.914	601.466	448.531	544.202	1127.917	3870.024	604.637	3822.16	995.701	3773.053	457.468	621.758	567.435	3870.287	3797.015	3815.429	3782.156	636.71	3819.851	3851.481	3905.449	670.557	3822.951	3927.975	714.412	578.482	740.432	3832.132	3965.605	663.19	3852.194	3901.57	532.754	635.448	3783.884	3798.99	1099.465	3827.462	488.361	554.413	619.236	3832.664	728.424	3926.767	3820.247	0.0	3812.432	724.172	627.75	3817.898	3835.505	635.945	3815.052	4032.255	784.001	4081.833	1314.208	1074.893	4176.472	3784.206	642.759	1163.743	4082.251	1563.211	1195.573	1198.121	4148.904	
SHH_WT_models42616.py	834.924	873.401	3857.413	3762.36	3875.665	1004.538	3772.594	803.055	766.611	919.398	4047.731	896.877	945.597	779.235	401.987	955.997	591.868	3752.692	4138.634	639.447	468.299	919.996	3804.897	486.06	3836.032	758.829	3733.838	3747.844	3782.973	3741.197	3828.966	3761.142	466.517	3930.318	948.924	3832.958	410.171	3825.251	3720.755	3816.586	626.154	446.243	439.829	421.671	3729.661	488.668	771.242	496.65	3724.198	443.307	762.6	3785.239	3762.838	3778.33	671.123	677.888	3736.507	678.598	550.973	3820.723	3745.158	561.13	501.075	3645.876	593.223	3774.172	3754.122	3759.255	632.749	3711.555	936.491	460.952	3812.432	0.0	3784.31	3782.144	503.824	391.252	3702.248	545.189	1389.894	3726.683	1548.244	4151.326	3783.107	1425.517	516.031	3700.202	4135.744	1977.876	4252.43	4041.538	4025.218	1408.792	
SHH_WT_models7718.py	3914.569	3748.03	1033.143	938.353	906.759	3790.411	812.64	3804.295	3926.224	3921.838	1531.961	3899.907	3796.071	3819.077	3848.53	3766.542	3915.264	622.596	1624.112	3779.954	3793.663	3820.519	449.575	3832.341	450.791	3800.192	497.361	917.303	433.635	565.621	519.389	966.072	3808.166	558.761	3705.955	848.408	3750.715	528.811	424.782	478.814	3790.367	3751.277	3762.856	3730.521	450.925	3759.211	3842.511	3862.089	389.196	3756.946	3931.689	292.932	516.414	688.48	3736.687	3920.505	367.247	3753.187	3865.416	529.018	496.216	3727.4	3734.899	1062.557	3809.886	575.648	624.356	452.026	3742.216	570.723	3817.936	3776.671	724.172	3784.31	0.0	536.292	3736.66	3787.169	547.557	3739.233	3961.89	374.999	4020.707	1484.19	1115.276	4120.708	3733.76	386.317	1364.373	4086.697	1865.592	1256.24	1239.604	4095.712	
SHH_WT_models37719.py	3906.099	3755.272	1121.196	978.216	901.187	3802.555	595.224	3808.704	3912.142	3889.824	1414.325	3861.315	3805.478	3835.02	3844.072	3784.92	3906.215	456.294	1570.55	3796.68	3795.692	3837.435	476.819	3837.887	508.242	3778.879	447.094	948.216	370.799	400.845	478.624	1064.537	3820.847	652.204	3733.024	1062.62	3747.298	538.522	387.934	516.022	3806.72	3755.208	3765.997	3737.667	608.961	3769.102	3826.59	3866.825	442.611	3771.701	3922.409	561.083	585.624	800.391	3764.443	3931.711	548.349	3782.379	3871.442	498.254	440.509	3725.755	3741.154	1019.458	3791.099	452.146	355.326	617.062	3766.786	655.324	3847.038	3779.822	627.75	3782.144	536.292	0.0	3753.506	3797.534	601.656	3755.979	3978.351	551.798	4029.833	1494.757	1142.341	4129.399	3734.519	501.02	1323.771	4041.923	1811.472	1252.884	1252.042	4106.396	
SHH_WT_models40490.py	921.026	855.134	3840.548	3733.593	3860.813	870.353	3768.62	770.999	804.927	1005.417	4048.227	957.826	906.456	715.009	472.826	964.131	604.452	3750.691	4162.25	520.659	362.323	824.423	3780.887	529.901	3796.54	934.46	3706.505	3715.979	3750.257	3726.607	3811.178	3734.101	340.292	3909.718	921.497	3791.588	440.821	3812.402	3691.432	3795.756	529.639	369.891	403.997	368.166	3700.79	396.335	720.017	515.03	3693.243	296.616	724.887	3737.418	3738.064	3765.798	447.688	582.831	3705.393	467.038	460.016	3802.375	3714.647	613.641	486.715	3625.542	705.305	3770.077	3746.223	3726.602	412.05	3690.688	853.668	504.164	3817.898	503.824	3736.66	3753.506	0.0	390.527	3678.706	591.888	1360.137	3683.031	1505.635	4150.6	3762.086	1434.778	707.217	3663.459	4139.078	2144.344	4276.328	4022.678	4004.295	1429.176	
SHH_WT_models7344.py	795.236	842.869	3860.008	3765.592	3886.904	892.6	3797.145	774.667	773.492	992.487	4087.063	986.068	832.617	658.167	454.232	939.764	547.791	3767.94	4172.921	640.639	448.822	866.215	3814.252	411.159	3846.895	939.524	3746.671	3748.583	3794.737	3761.392	3841.672	3762.945	359.619	3943.375	930.118	3832.962	451.996	3841.237	3728.774	3824.89	437.418	443.784	523.277	409.688	3729.503	518.583	815.271	498.186	3728.287	358.82	728.598	3785.707	3766.613	3779.867	625.962	577.051	3739.941	629.715	466.507	3833.582	3755.397	717.216	578.748	3651.288	721.039	3792.989	3771.723	3761.913	597.727	3710.48	855.539	559.975	3835.505	391.252	3787.169	3797.534	390.527	0.0	3703.981	383.513	1397.583	3725.178	1547.444	4177.493	3792.441	1457.687	672.961	3703.777	4162.629	2142.487	4284.817	4059.841	4042.109	1426.828	
SHH_WT_models30347.py	3822.897	3692.051	939.494	906.739	853.59	3739.364	809.053	3755.345	3851.31	3852.402	1593.261	3836.199	3730.994	3758.767	3781.0	3722.894	3841.608	477.884	1625.047	3748.043	3733.169	3788.753	400.185	3754.582	693.622	3742.027	531.778	832.633	495.791	554.492	468.769	912.523	3755.553	662.269	3673.225	919.613	3680.554	514.912	459.739	429.702	3721.884	3687.624	3708.177	3671.93	391.895	3714.846	3793.858	3806.694	446.237	3696.248	3869.357	551.388	371.05	469.194	3710.837	3870.273	323.013	3729.231	3801.847	484.224	572.362	3681.867	3690.688	976.821	3749.531	488.67	515.828	425.982	3711.667	300.421	3791.031	3718.797	635.945	3702.248	547.557	601.656	3678.706	3703.981	0.0	3657.999	3933.621	510.782	3989.255	1563.821	1062.379	4093.288	3673.308	466.692	1412.068	4057.598	1864.086	1394.903	1367.355	4065.106	
SHH_WT_models19239.py	712.34	759.948	3802.843	3696.236	3855.614	808.586	3759.275	741.714	829.98	1077.62	4079.454	1077.838	658.052	521.784	606.712	835.522	687.303	3731.717	4186.903	774.631	649.04	868.272	3778.191	409.477	3809.722	984.154	3713.391	3685.775	3759.8	3732.534	3805.465	3694.07	559.484	3917.718	801.988	3774.604	621.675	3816.297	3686.706	3786.497	366.848	634.495	722.642	583.313	3684.313	718.444	971.064	619.792	3676.874	584.231	873.345	3739.402	3737.826	3728.489	779.202	729.472	3694.097	745.299	640.33	3799.901	3718.736	856.492	716.837	3574.266	886.314	3764.525	3733.265	3729.419	789.136	3661.532	762.244	738.971	3815.052	545.189	3739.233	3755.979	591.888	383.513	3657.999	0.0	1357.762	3671.547	1506.571	4110.592	3719.492	1461.237	720.007	3663.746	4101.474	2112.171	4241.675	3995.993	3976.931	1431.208	
SHH_WT_models491.py	1212.622	1061.846	4044.029	3921.292	4067.014	1055.547	3968.344	1012.508	1271.876	1264.997	4219.819	1248.283	1127.958	1156.514	1276.819	1062.824	1310.93	4000.64	4373.228	1146.801	1265.291	998.332	4036.231	1269.247	4001.99	1205.964	3957.83	3914.97	3999.22	3982.159	4062.282	3910.336	1299.995	4159.959	1088.475	3962.887	1240.618	4075.344	3942.387	4045.625	1273.321	1281.597	1285.693	1251.545	3961.412	1250.588	1274.758	1242.52	3930.161	1308.879	1340.012	3951.632	4015.701	3997.637	1213.737	1300.433	3957.105	1181.305	1373.101	4050.012	3956.357	1259.215	1242.325	3772.749	1269.14	4027.237	3979.121	4005.919	1288.985	3940.326	1035.663	1278.629	4032.255	1389.894	3961.89	3978.351	1360.137	1397.583	3933.621	1357.762	0.0	3916.257	356.166	4234.722	3835.623	620.226	1256.764	3915.053	4229.085	1775.012	4420.38	4061.585	4054.729	660.294	
