	SHH_WT_models39112.py	SHH_WT_models17169.py	SHH_WT_models39507.py	SHH_WT_models29348.py	SHH_WT_models8890.py	SHH_WT_models22582.py	SHH_WT_models35923.py	SHH_WT_models28174.py	SHH_WT_models48773.py	SHH_WT_models27908.py	SHH_WT_models44428.py	SHH_WT_models2347.py	SHH_WT_models37605.py	SHH_WT_models25404.py	SHH_WT_models1709.py	SHH_WT_models31532.py	SHH_WT_models15235.py	SHH_WT_models5070.py	SHH_WT_models11760.py	SHH_WT_models44981.py	SHH_WT_models49283.py	SHH_WT_models44943.py	SHH_WT_models36637.py	SHH_WT_models47783.py	SHH_WT_models36833.py	SHH_WT_models26485.py	SHH_WT_models34323.py	SHH_WT_models38276.py	SHH_WT_models29459.py	SHH_WT_models29007.py	SHH_WT_models42278.py	SHH_WT_models9748.py	SHH_WT_models14847.py	SHH_WT_models2378.py	SHH_WT_models1483.py	SHH_WT_models22704.py	SHH_WT_models41149.py	SHH_WT_models46610.py	SHH_WT_models39215.py	SHH_WT_models21516.py	SHH_WT_models12018.py	SHH_WT_models29668.py	SHH_WT_models11746.py	SHH_WT_models34283.py	SHH_WT_models38454.py	SHH_WT_models25210.py	SHH_WT_models25325.py	SHH_WT_models5447.py	SHH_WT_models42102.py	SHH_WT_models38869.py	SHH_WT_models32950.py	SHH_WT_models9457.py	SHH_WT_models12231.py	SHH_WT_models8847.py	SHH_WT_models15552.py	SHH_WT_models41837.py	SHH_WT_models40274.py	SHH_WT_models7095.py	SHH_WT_models3886.py	SHH_WT_models31195.py	SHH_WT_models37289.py	SHH_WT_models10306.py	SHH_WT_models18570.py	SHH_WT_models17085.py	SHH_WT_models9654.py	SHH_WT_models32237.py	SHH_WT_models33698.py	SHH_WT_models33622.py	SHH_WT_models571.py	SHH_WT_models28611.py	SHH_WT_models40317.py	SHH_WT_models40479.py	SHH_WT_models11273.py	SHH_WT_models2611.py	SHH_WT_models14471.py	SHH_WT_models40152.py	SHH_WT_models1789.py	SHH_WT_models717.py	SHH_WT_models43346.py	SHH_WT_models29730.py	SHH_WT_models21876.py	SHH_WT_models7530.py	SHH_WT_models41274.py	SHH_WT_models27167.py	SHH_WT_models8846.py	SHH_WT_models34442.py	SHH_WT_models18377.py	SHH_WT_models41778.py	SHH_WT_models9585.py	SHH_WT_models8077.py	SHH_WT_models32116.py	SHH_WT_models11050.py	SHH_WT_models34664.py	SHH_WT_models32695.py	SHH_WT_models7948.py	SHH_WT_models35309.py	SHH_WT_models192.py	SHH_WT_models23133.py	SHH_WT_models6070.py	SHH_WT_models28238.py	SHH_WT_models34190.py	SHH_WT_models48341.py	SHH_WT_models22069.py	SHH_WT_models13902.py	SHH_WT_models49537.py	SHH_WT_models38655.py	
SHH_WT_models25325.py	831.921	836.883	3957.62	3872.336	3908.108	864.963	3807.863	660.839	567.941	493.914	3998.794	410.724	1047.808	876.557	549.408	959.625	570.747	3821.01	4078.391	535.205	496.999	731.336	3865.621	693.363	3862.367	646.914	3773.707	3867.588	3823.357	3780.451	3894.031	3881.306	643.606	3963.02	1066.601	3921.35	579.811	3872.597	3778.175	3883.265	896.224	534.545	560.755	632.799	3802.059	565.58	0.0	614.767	3798.075	601.2	563.72	3844.294	3817.447	3889.408	604.037	669.32	3816.612	608.244	635.073	3884.11	3794.625	571.757	586.731	3782.735	581.345	3833.226	3818.463	3816.469	568.695	3812.409	933.285	587.949	3851.481	771.242	3842.511	3826.59	720.017	815.271	3793.858	971.064	1274.758	3811.751	1333.72	4232.464	3906.081	1269.195	802.094	3759.34	4196.887	1722.956	4304.527	4101.109	4088.999	1296.76	1260.604	1383.722	4171.914	1316.953	765.705	1196.206	4038.124	1267.708	4210.141	4188.124	4221.13	4056.16	
SHH_WT_models5447.py	706.788	763.428	3966.085	3858.841	3960.557	803.814	3852.833	563.301	531.465	783.076	4107.746	747.318	799.985	616.119	281.558	828.66	313.502	3855.652	4206.984	495.538	405.654	644.71	3906.31	380.863	3902.468	771.608	3812.155	3847.988	3868.04	3830.651	3935.834	3850.429	287.868	4027.246	838.78	3916.24	464.774	3928.573	3802.528	3921.101	528.14	500.992	511.836	450.375	3818.911	469.938	614.767	0.0	3808.669	432.167	473.508	3857.741	3854.343	3889.1	512.368	383.005	3834.935	485.172	386.327	3926.519	3821.917	610.532	538.45	3739.55	593.41	3879.133	3852.923	3849.382	534.614	3815.746	655.973	517.262	3905.449	496.65	3862.089	3866.825	515.03	498.186	3806.694	619.792	1242.52	3807.027	1388.049	4250.84	3873.747	1246.686	609.802	3784.124	4233.495	1900.396	4358.331	4103.057	4087.354	1246.976	1291.164	1458.717	4192.082	1330.529	582.983	1303.626	4046.967	1281.291	4230.693	4205.456	4232.432	4067.193	
SHH_WT_models42102.py	3840.964	3700.914	1010.886	866.842	899.177	3742.667	704.999	3751.976	3861.666	3868.276	1556.293	3844.686	3736.769	3762.974	3788.224	3724.227	3851.901	485.648	1681.501	3751.556	3748.039	3784.24	432.465	3768.779	520.393	3747.399	421.981	846.558	396.026	480.303	508.507	875.375	3756.878	628.293	3665.917	919.315	3698.924	521.384	244.369	428.083	3731.916	3707.575	3723.751	3684.736	331.97	3722.353	3798.075	3808.669	0.0	3713.063	3871.96	414.536	424.911	564.796	3714.095	3868.131	349.996	3726.192	3808.465	533.073	384.971	3689.355	3694.463	944.923	3761.86	457.199	462.115	419.62	3717.942	394.139	3783.682	3735.347	670.557	3724.198	389.196	442.611	3693.243	3728.287	446.237	3676.874	3930.161	309.735	3989.517	1536.325	1076.838	4087.552	3682.279	342.791	1387.042	4035.968	1881.19	1300.801	1276.843	4058.337	3964.852	4141.362	1374.729	4134.9	3687.3	3935.585	1208.481	4097.957	1402.49	1349.511	1456.039	1251.654	
SHH_WT_models38869.py	826.656	768.592	3864.218	3761.311	3870.124	819.31	3776.466	674.802	727.133	860.864	4044.905	850.28	868.695	664.875	388.724	864.779	522.576	3761.878	4153.139	401.063	286.32	731.554	3800.155	459.755	3812.083	801.283	3719.9	3744.121	3765.498	3741.076	3826.797	3758.952	303.812	3922.376	893.303	3817.054	351.444	3827.424	3708.469	3813.98	534.45	267.529	313.443	297.657	3720.504	291.187	601.2	432.167	3713.063	0.0	645.625	3757.972	3753.407	3785.831	377.989	540.043	3721.507	436.689	420.463	3820.45	3732.257	509.448	421.587	3657.94	587.668	3781.509	3759.566	3746.384	339.066	3709.098	812.758	424.221	3822.951	443.307	3756.946	3771.701	296.616	358.82	3696.248	584.231	1308.879	3710.175	1439.55	4176.734	3788.907	1379.098	609.191	3679.566	4156.367	2038.608	4292.774	4042.138	4025.237	1372.219	1349.085	1581.629	4113.832	1477.134	451.141	1309.977	3981.004	1397.776	4154.384	4128.094	4158.833	4003.085	
SHH_WT_models32950.py	786.326	942.344	4026.581	3941.503	3996.619	887.962	3894.046	691.355	389.678	739.639	4115.566	654.827	999.099	826.966	455.092	1025.543	286.242	3897.663	4160.266	683.131	594.667	732.654	3949.46	569.698	3952.255	889.705	3859.951	3938.139	3917.81	3867.84	3978.413	3938.149	548.653	4041.786	1073.372	3995.983	660.472	3950.802	3857.955	3963.842	769.254	663.274	725.163	716.405	3873.333	698.711	563.72	473.508	3871.96	645.625	0.0	3927.039	3892.277	3949.295	697.007	361.925	3900.734	646.876	429.56	3965.163	3876.333	789.671	784.592	3833.441	737.301	3912.308	3900.914	3894.085	711.975	3880.257	840.009	763.405	3927.975	762.6	3931.689	3922.409	724.887	728.598	3869.357	873.345	1340.012	3882.504	1430.519	4310.501	3973.324	1242.17	912.877	3843.407	4275.724	1940.82	4374.74	4179.322	4167.575	1243.668	1335.316	1426.473	4242.973	1289.586	855.093	1366.667	4117.995	1234.449	4292.048	4271.745	4292.048	4138.745	
SHH_WT_models9457.py	3906.979	3744.823	905.158	785.364	759.686	3780.015	713.903	3796.484	3920.885	3916.84	1420.036	3896.792	3791.15	3814.189	3848.27	3760.075	3909.616	596.391	1539.566	3778.673	3799.092	3810.477	475.743	3828.577	327.215	3801.489	434.43	750.538	390.826	572.84	533.627	790.328	3805.839	574.791	3699.719	690.426	3750.301	610.135	414.651	541.637	3785.648	3754.62	3766.644	3730.922	438.283	3759.19	3844.294	3857.741	414.536	3757.972	3927.039	0.0	490.933	635.865	3737.014	3918.257	404.671	3751.746	3862.757	595.252	437.77	3732.414	3734.796	922.511	3810.334	646.26	623.847	482.199	3742.453	543.144	3810.362	3779.659	714.412	3785.239	292.932	561.083	3737.418	3785.707	551.388	3739.402	3951.632	408.845	4010.795	1420.592	957.646	4116.062	3733.776	463.642	1312.336	4092.232	1778.945	1173.531	1149.924	4091.915	3984.571	4182.594	1304.988	4183.363	3734.895	3966.654	1123.831	4137.943	1299.643	1226.619	1358.286	1149.37	
SHH_WT_models12231.py	3880.066	3769.214	952.05	931.903	772.762	3806.331	726.643	3814.031	3880.495	3873.104	1467.8	3855.022	3812.823	3828.476	3825.164	3799.485	3874.276	439.599	1496.451	3797.208	3782.017	3843.959	380.968	3815.513	587.589	3792.892	411.142	901.024	399.676	439.647	460.157	969.63	3803.779	542.989	3752.296	926.803	3735.642	427.547	386.988	420.869	3790.695	3743.069	3759.675	3729.791	295.203	3763.835	3817.447	3854.343	424.911	3753.407	3892.277	490.933	0.0	552.669	3763.716	3905.352	373.026	3781.819	3843.717	491.769	475.202	3738.789	3745.436	1079.483	3793.559	445.472	513.109	265.875	3761.421	399.571	3860.653	3771.41	578.482	3762.838	516.414	585.624	3738.064	3766.613	371.05	3737.826	4015.701	497.904	4070.228	1491.983	1142.635	4164.87	3739.475	448.602	1341.099	4106.446	1777.526	1328.105	1297.521	4141.009	4046.932	4223.036	1308.986	4197.371	3739.835	3993.138	1201.418	4169.388	1380.659	1321.29	1403.085	1239.179	
SHH_WT_models8847.py	3878.534	3748.626	734.785	758.655	870.937	3805.102	914.495	3824.833	3923.143	3933.48	1671.062	3920.267	3788.98	3825.852	3862.288	3787.373	3918.758	585.998	1639.315	3835.483	3819.89	3862.214	518.284	3830.023	803.651	3811.38	758.022	702.602	727.144	763.821	573.419	760.565	3836.998	654.486	3730.641	806.62	3759.992	630.545	674.165	509.648	3793.268	3774.11	3798.928	3750.736	483.779	3801.921	3889.408	3889.1	564.796	3785.831	3949.295	635.865	552.669	0.0	3802.294	3947.913	513.51	3819.989	3883.058	616.833	750.252	3765.648	3769.275	890.844	3832.289	633.749	695.778	594.017	3809.094	370.955	3863.341	3809.217	740.432	3778.33	688.48	800.391	3765.798	3779.867	469.194	3728.489	3997.637	612.948	4057.377	1523.289	982.598	4161.972	3744.509	710.689	1409.508	4094.245	1830.722	1433.486	1396.889	4125.709	4040.075	4216.054	1355.823	4198.289	3754.217	3986.09	1329.236	4166.344	1417.853	1403.013	1416.868	1381.063	
SHH_WT_models15552.py	922.913	753.518	3874.879	3764.295	3870.8	764.983	3776.944	639.885	773.038	854.342	4025.266	850.561	913.931	721.592	554.395	846.635	629.319	3777.421	4156.762	305.254	405.628	633.97	3802.593	632.592	3786.846	835.744	3717.502	3745.323	3762.235	3745.512	3827.416	3760.449	436.506	3920.352	871.477	3798.437	468.09	3834.666	3708.713	3822.275	668.432	401.406	396.391	414.462	3727.778	297.196	604.037	512.368	3714.095	377.989	697.007	3737.014	3763.716	3802.294	0.0	589.863	3722.954	304.917	575.152	3820.581	3722.035	534.256	451.217	3661.316	668.233	3794.476	3769.505	3749.093	265.5	3726.879	740.911	520.514	3832.132	671.123	3736.687	3764.443	447.688	625.962	3710.837	779.202	1213.737	3699.528	1330.47	4169.901	3781.854	1313.471	710.807	3672.711	4151.039	2000.008	4308.485	4012.676	3998.577	1323.422	1238.0	1508.534	4117.591	1460.231	579.88	1248.096	3968.848	1366.095	4143.337	4109.396	4155.012	3986.095	
SHH_WT_models41837.py	731.529	869.922	4024.551	3918.102	4016.899	838.142	3916.105	680.494	534.499	859.534	4155.439	819.207	887.866	684.313	380.561	924.23	312.047	3916.148	4223.248	572.128	497.714	696.714	3962.501	461.1	3959.003	912.619	3870.784	3913.245	3925.419	3889.606	3990.249	3912.586	389.516	4061.059	940.781	3974.766	633.916	3977.585	3862.407	3972.625	584.384	578.503	628.015	601.844	3874.015	601.297	669.32	383.005	3868.131	540.043	361.925	3918.257	3905.352	3947.913	589.863	0.0	3895.309	524.89	367.287	3979.173	3882.657	746.801	684.521	3807.135	723.508	3931.534	3913.74	3902.831	607.989	3874.316	749.941	651.909	3965.605	677.888	3920.505	3931.711	582.831	577.051	3870.273	729.472	1300.433	3864.033	1422.532	4326.456	3957.093	1239.948	824.961	3844.7	4301.993	2007.835	4408.509	4185.706	4171.78	1230.271	1321.071	1444.449	4266.701	1317.188	744.52	1377.765	4131.288	1242.346	4309.876	4284.291	4308.533	4151.129	
SHH_WT_models40274.py	3866.022	3717.189	932.378	866.813	839.041	3764.27	780.631	3779.856	3890.944	3886.074	1564.326	3868.433	3762.78	3786.692	3812.916	3742.948	3877.65	480.712	1622.464	3762.158	3760.025	3806.168	327.799	3789.002	581.093	3767.328	467.093	803.679	420.547	525.769	434.644	888.235	3780.021	573.42	3691.356	859.378	3714.488	468.766	388.529	398.968	3754.029	3714.021	3730.643	3698.185	333.61	3733.314	3816.612	3834.935	349.996	3721.507	3900.734	404.671	373.026	513.51	3722.954	3895.309	0.0	3742.791	3831.667	489.651	496.239	3701.53	3707.85	959.632	3775.61	500.993	538.305	367.037	3722.843	373.795	3811.316	3742.625	663.19	3736.507	367.247	548.349	3705.393	3739.941	323.013	3694.097	3957.105	422.226	4014.504	1523.489	1057.397	4120.528	3701.581	389.323	1387.818	4077.751	1853.53	1339.053	1312.892	4094.065	3990.527	4178.034	1358.631	4172.185	3697.067	3949.898	1244.869	4129.535	1394.208	1346.011	1452.346	1267.597	
SHH_WT_models7095.py	841.245	741.407	3889.163	3765.062	3884.238	710.062	3786.232	589.797	694.948	853.338	4034.733	819.617	855.908	673.694	493.141	803.783	586.341	3797.449	4171.249	308.787	451.907	578.594	3826.017	574.386	3800.005	843.73	3729.613	3755.619	3777.026	3762.638	3853.383	3758.91	437.338	3941.685	812.775	3806.459	522.458	3859.267	3721.245	3841.625	640.417	467.661	491.784	464.854	3741.78	415.834	608.244	485.172	3726.192	436.689	646.876	3751.746	3781.819	3819.989	304.917	524.89	3742.791	0.0	534.025	3846.819	3736.319	615.623	501.198	3660.444	705.18	3813.979	3784.288	3770.788	341.839	3740.727	638.885	516.972	3852.194	678.598	3753.187	3782.379	467.038	629.715	3729.231	745.299	1181.305	3715.356	1299.923	4167.226	3779.396	1253.165	743.355	3693.208	4153.085	1964.526	4310.108	4008.883	3994.266	1263.431	1188.911	1452.476	4122.035	1401.114	640.722	1242.136	3966.158	1303.052	4144.425	4109.972	4156.78	3982.38	
SHH_WT_models3886.py	811.407	907.772	3965.353	3860.824	3964.9	899.684	3861.535	730.705	529.737	882.11	4122.446	844.814	956.125	751.853	352.873	1025.21	327.222	3852.298	4193.704	604.655	463.0	824.45	3901.058	428.606	3908.444	925.657	3813.7	3851.919	3865.462	3828.206	3928.53	3856.255	325.77	4009.106	1016.838	3924.036	505.205	3912.526	3802.503	3909.866	593.759	491.03	583.531	521.123	3813.847	558.452	635.073	386.327	3808.465	420.463	429.56	3862.757	3843.717	3883.058	575.152	367.287	3831.667	534.025	0.0	3917.584	3828.295	709.586	626.397	3751.008	769.102	3868.372	3851.486	3841.742	532.469	3808.103	843.508	655.818	3901.57	550.973	3865.416	3871.442	460.016	466.507	3801.847	640.33	1373.101	3809.889	1501.159	4262.461	3892.684	1326.144	794.021	3782.309	4238.755	2088.456	4356.518	4130.134	4113.756	1304.81	1392.283	1547.267	4198.252	1407.185	672.959	1400.941	4070.99	1328.547	4246.25	4220.479	4244.587	4090.918	
SHH_WT_models31195.py	3948.439	3812.483	1017.733	1017.851	893.033	3872.166	771.056	3880.822	3946.013	3933.072	1511.833	3913.405	3872.607	3896.352	3894.057	3854.788	3943.873	408.501	1483.391	3859.687	3843.008	3915.592	308.033	3887.57	641.481	3836.853	575.273	980.97	507.939	475.005	248.642	1104.36	3874.597	425.323	3801.075	1029.717	3789.055	295.214	526.589	293.329	3860.076	3799.297	3815.339	3784.646	556.882	3819.86	3884.11	3926.519	533.073	3820.45	3965.163	595.252	491.769	616.833	3820.581	3979.173	489.651	3846.819	3917.584	0.0	606.127	3780.831	3796.199	1143.769	3847.021	333.556	440.934	497.779	3826.621	554.079	3928.593	3831.906	532.754	3820.723	529.018	498.254	3802.375	3833.582	484.224	3799.901	4050.012	556.95	4105.131	1467.116	1227.324	4204.046	3790.713	530.648	1294.736	4120.615	1769.161	1359.445	1362.943	4174.788	4086.808	4258.631	1282.712	4237.406	3790.324	4028.236	1289.421	4205.585	1331.535	1308.374	1370.652	1349.041	
SHH_WT_models37289.py	3869.012	3735.746	1068.687	934.548	784.068	3767.841	585.169	3770.323	3867.376	3855.857	1369.022	3832.759	3778.988	3796.583	3802.218	3755.519	3859.375	510.424	1544.462	3759.1	3758.297	3796.234	485.318	3793.823	430.81	3759.256	314.578	890.132	364.078	418.929	555.928	937.128	3773.25	663.847	3704.666	949.186	3713.647	597.348	288.234	595.196	3762.935	3720.625	3730.118	3699.213	466.299	3729.25	3794.625	3821.917	384.971	3732.257	3876.333	437.77	475.202	750.252	3722.035	3882.657	496.239	3736.319	3828.295	606.127	0.0	3704.494	3708.981	1003.392	3761.215	533.92	491.908	462.447	3726.059	598.027	3807.9	3739.617	635.448	3745.158	496.216	440.509	3714.647	3755.397	572.362	3718.736	3956.357	520.756	4012.063	1499.186	1078.405	4115.705	3702.573	386.049	1344.08	4063.697	1808.209	1209.096	1197.254	4093.886	3987.092	4176.005	1338.825	4163.424	3708.055	3952.511	1104.852	4131.029	1344.735	1299.986	1414.063	1169.017	
SHH_WT_models10306.py	938.922	754.054	3825.235	3723.198	3835.473	962.155	3725.665	745.636	844.092	825.291	3965.899	763.876	1008.747	861.726	530.758	839.264	725.398	3727.213	4087.248	474.819	457.371	790.155	3765.73	703.978	3769.056	537.91	3689.405	3716.392	3731.339	3698.278	3786.573	3733.798	601.694	3878.24	888.593	3781.99	488.547	3790.277	3683.182	3780.74	815.51	457.563	375.008	469.495	3706.871	426.712	571.757	610.532	3689.355	509.448	789.671	3732.414	3738.789	3765.648	534.256	746.801	3701.53	615.623	709.586	3780.831	3704.494	0.0	385.924	3625.71	402.058	3745.166	3722.818	3731.255	523.018	3698.612	948.905	444.558	3783.884	561.13	3727.4	3725.755	613.641	717.216	3681.867	856.492	1259.215	3688.337	1397.252	4122.282	3757.485	1328.268	449.406	3656.757	4106.833	1734.377	4235.188	4001.871	3990.074	1341.33	1324.396	1504.281	4073.614	1406.439	422.974	1260.902	3951.73	1333.663	4106.566	4086.419	4116.597	3974.264	
SHH_WT_models18570.py	858.538	705.527	3833.933	3728.502	3842.809	850.642	3740.468	659.046	790.643	825.484	3990.107	787.48	900.384	722.808	494.653	802.161	666.443	3739.028	4112.952	380.235	398.756	744.381	3778.832	594.143	3779.52	656.96	3699.957	3716.479	3745.415	3716.921	3801.034	3732.325	451.903	3894.812	823.515	3785.918	395.806	3807.131	3690.93	3794.276	676.185	362.784	315.542	309.628	3709.406	299.685	586.731	538.45	3694.463	421.587	784.592	3734.796	3745.436	3769.275	451.217	684.521	3707.85	501.198	626.397	3796.199	3708.981	385.924	0.0	3625.629	517.34	3761.285	3734.067	3735.997	424.382	3701.81	855.607	398.863	3798.99	501.075	3734.899	3741.154	486.715	578.748	3690.688	716.837	1242.325	3690.219	1386.879	4131.649	3754.917	1345.77	451.461	3665.201	4116.64	1825.071	4251.098	4001.715	3987.339	1346.081	1305.737	1522.38	4079.525	1432.866	377.688	1250.482	3950.696	1371.505	4112.166	4089.342	4118.669	3973.077	
SHH_WT_models17085.py	3745.359	3568.442	754.405	491.056	884.138	3625.811	866.035	3648.201	3815.445	3839.576	1471.365	3810.973	3590.568	3653.583	3723.866	3589.84	3803.795	936.061	1676.577	3687.749	3693.013	3680.336	996.089	3685.574	953.877	3670.356	987.501	457.778	998.05	1042.063	1045.037	523.35	3690.59	1153.782	3513.67	727.398	3635.708	1178.406	973.232	1059.521	3631.915	3653.188	3670.866	3612.085	935.964	3668.75	3782.735	3739.55	944.923	3657.94	3833.441	922.511	1079.483	890.844	3661.316	3807.135	959.632	3660.444	3751.008	1143.769	1003.392	3625.71	3625.629	0.0	3696.695	1144.968	995.853	1129.467	3673.442	933.691	3656.235	3674.878	1099.465	3645.876	1062.557	1019.458	3625.542	3651.288	976.821	3574.266	3772.749	986.912	3845.152	1490.606	545.146	3937.38	3585.239	1117.256	1490.961	3924.817	1737.255	1305.853	1284.257	3900.002	3823.619	4010.302	1434.207	3998.626	3608.628	3807.422	1247.102	3958.319	1400.573	1431.0	1416.945	1336.457	
SHH_WT_models9654.py	852.149	767.031	3890.325	3797.363	3874.874	945.272	3772.586	722.583	810.448	756.867	3990.539	677.726	955.497	830.455	513.599	803.468	668.918	3779.495	4098.173	552.554	472.628	739.057	3827.466	686.766	3837.329	533.617	3747.773	3791.856	3796.27	3754.082	3852.758	3806.729	631.201	3937.342	892.408	3861.327	566.807	3848.895	3748.609	3846.556	805.133	545.273	455.67	529.286	3768.501	515.864	581.345	593.41	3761.86	587.668	737.301	3810.334	3793.559	3832.289	668.233	723.508	3775.61	705.18	769.102	3847.021	3761.215	402.058	517.34	3696.695	0.0	3798.172	3777.337	3792.79	657.39	3765.224	927.597	416.94	3827.462	593.223	3809.886	3791.099	705.305	721.039	3749.531	886.314	1269.14	3771.779	1403.565	4184.621	3826.618	1330.783	476.927	3732.471	4165.28	1659.3	4274.231	4064.301	4053.016	1352.008	1342.458	1495.578	4132.063	1375.237	556.883	1259.933	4002.371	1333.594	4164.852	4152.903	4172.362	4029.083	
SHH_WT_models32237.py	3895.68	3780.152	1071.624	1027.0	909.651	3836.452	706.631	3838.319	3894.762	3880.519	1514.025	3862.059	3835.117	3858.295	3841.078	3820.659	3892.132	369.197	1531.383	3823.124	3800.366	3876.026	381.841	3839.259	665.267	3788.217	518.299	1028.591	484.593	406.426	383.668	1117.901	3832.538	512.098	3772.762	1097.515	3749.783	310.176	459.961	340.468	3821.259	3760.649	3776.977	3747.824	516.585	3785.869	3833.226	3879.133	457.199	3781.509	3912.308	646.26	445.472	633.749	3794.476	3931.534	500.993	3813.979	3868.372	333.556	533.92	3745.166	3761.285	1144.968	3798.172	0.0	352.284	483.289	3793.944	521.311	3896.22	3788.302	488.361	3774.172	575.648	452.146	3770.077	3792.989	488.67	3764.525	4027.237	597.861	4079.642	1494.968	1234.435	4173.661	3747.357	487.487	1307.358	4070.12	1789.053	1372.561	1362.922	4144.521	4062.279	4223.23	1301.736	4194.327	3756.058	3998.129	1272.65	4169.376	1363.519	1340.295	1402.947	1328.405	
SHH_WT_models33698.py	3871.151	3744.705	1066.095	942.139	843.944	3797.073	563.017	3799.559	3879.564	3862.695	1424.809	3842.262	3794.027	3822.236	3821.248	3782.01	3878.606	335.031	1532.029	3797.371	3782.454	3839.632	471.407	3814.28	617.452	3761.911	454.816	919.187	437.047	377.98	435.703	1023.453	3805.637	632.125	3732.924	1071.274	3726.94	506.043	410.554	470.157	3788.957	3741.749	3756.823	3721.401	561.455	3761.277	3818.463	3852.923	462.115	3759.566	3900.914	623.847	513.109	695.778	3769.505	3913.74	538.305	3784.288	3851.486	440.934	491.908	3722.818	3734.067	995.853	3777.337	352.284	0.0	596.42	3772.365	537.103	3853.626	3767.664	554.413	3754.122	624.356	355.326	3746.223	3771.723	515.828	3733.265	3979.121	574.818	4031.584	1496.744	1123.516	4130.532	3718.244	556.868	1321.893	4031.272	1770.347	1305.624	1314.154	4100.454	4014.393	4180.606	1309.142	4157.019	3731.363	3958.736	1204.509	4132.457	1335.835	1333.436	1386.223	1292.396	
SHH_WT_models33622.py	3889.75	3764.835	1015.312	1005.887	845.26	3802.003	801.013	3807.773	3885.193	3880.395	1525.817	3859.872	3806.45	3823.091	3825.335	3795.908	3877.48	527.065	1549.892	3789.463	3774.518	3839.893	385.39	3812.907	609.636	3793.067	460.405	965.113	469.481	477.3	514.202	1026.018	3796.159	575.66	3742.934	952.948	3731.362	422.739	410.571	455.203	3784.057	3735.932	3750.637	3721.639	300.002	3753.913	3816.469	3849.382	419.62	3746.384	3894.085	482.199	265.875	594.017	3749.093	3902.831	367.037	3770.788	3841.742	497.779	462.447	3731.255	3735.997	1129.467	3792.79	483.289	596.42	0.0	3748.843	459.895	3850.113	3762.664	619.236	3759.255	452.026	617.062	3726.602	3761.913	425.982	3729.419	4005.919	477.733	4062.566	1525.165	1191.202	4160.864	3733.776	357.642	1382.397	4108.825	1836.008	1350.676	1320.86	4137.167	4037.94	4219.664	1351.502	4202.844	3725.374	3990.553	1230.157	4170.024	1412.724	1348.244	1454.577	1254.917	
SHH_WT_models571.py	972.002	852.498	3881.397	3772.658	3873.194	878.434	3779.762	739.57	813.599	908.577	4024.608	876.616	1001.303	802.358	531.616	925.382	641.893	3777.857	4152.378	330.388	400.077	735.146	3804.533	629.842	3791.658	864.19	3715.636	3753.63	3758.516	3744.198	3832.016	3770.059	444.087	3923.081	953.517	3808.359	502.331	3833.575	3708.615	3822.901	714.46	375.85	371.648	428.29	3729.324	332.476	568.695	534.614	3717.942	339.066	711.975	3742.453	3761.421	3809.094	265.5	607.989	3722.843	341.839	532.469	3826.621	3726.059	523.018	424.382	3673.442	657.39	3793.944	3772.365	3748.843	0.0	3728.243	834.074	463.841	3832.664	632.749	3742.216	3766.786	412.05	597.727	3711.667	789.136	1288.985	3710.365	1417.485	4177.13	3792.501	1353.969	707.198	3676.04	4157.801	2035.033	4305.805	4024.807	4007.68	1367.296	1310.55	1561.889	4124.226	1491.543	540.057	1312.352	3976.38	1396.146	4152.127	4117.36	4165.299	3989.344	
SHH_WT_models28611.py	3821.469	3695.043	916.327	831.189	899.386	3743.081	840.189	3759.842	3861.327	3868.108	1649.342	3854.684	3729.724	3758.471	3789.85	3724.319	3850.867	514.042	1694.324	3762.112	3749.491	3796.207	472.161	3760.159	719.035	3750.298	593.728	780.832	536.628	617.5	538.935	824.523	3761.268	678.67	3668.716	894.538	3695.444	569.239	480.739	415.723	3723.21	3704.176	3726.136	3683.708	339.349	3729.565	3812.409	3815.746	394.139	3709.098	3880.257	543.144	399.571	370.955	3726.879	3874.316	373.795	3740.727	3808.103	554.079	598.027	3698.612	3701.81	933.691	3765.224	521.311	537.103	459.895	3728.243	0.0	3795.063	3736.075	728.424	3711.555	570.723	655.324	3690.688	3710.48	300.421	3661.532	3940.326	457.735	3998.536	1585.786	1062.563	4098.814	3681.59	520.335	1445.081	4047.457	1896.013	1422.283	1386.765	4064.955	3977.0	4151.506	1400.095	4135.699	3689.16	3932.036	1299.533	4102.196	1463.769	1425.0	1480.588	1357.721	
SHH_WT_models40317.py	694.075	608.435	3917.095	3787.665	3943.255	490.489	3847.379	462.449	800.054	976.675	4119.076	963.294	500.702	488.838	760.606	577.395	773.233	3864.688	4268.122	675.764	805.25	407.922	3899.379	660.226	3867.205	957.873	3808.533	3783.17	3856.96	3843.261	3932.784	3775.123	746.289	4030.197	548.103	3836.236	823.977	3946.011	3790.521	3913.548	629.502	854.897	883.967	792.411	3801.581	822.537	933.285	655.973	3783.682	812.758	840.009	3810.362	3860.653	3863.341	740.911	749.941	3811.316	638.885	843.508	3928.593	3807.9	948.905	855.607	3656.235	927.597	3896.22	3853.626	3850.113	834.074	3795.063	0.0	854.209	3926.767	936.491	3817.936	3847.038	853.668	855.539	3791.031	762.244	1035.663	3769.738	1135.183	4183.593	3771.572	1141.771	884.67	3768.224	4185.646	1848.534	4357.595	4019.484	4003.36	1151.369	1065.132	1290.579	4150.259	1279.65	935.039	1197.108	3989.803	1241.645	4164.057	4131.145	4169.323	4003.804	
