	Six_mouse_models36748.py	Six_mouse_models23566.py	Six_mouse_models20174.py	Six_mouse_models25136.py	Six_mouse_models12750.py	Six_mouse_models26653.py	Six_mouse_models33993.py	Six_mouse_models4828.py	Six_mouse_models20817.py	Six_mouse_models48847.py	Six_mouse_models21704.py	Six_mouse_models16824.py	Six_mouse_models33861.py	Six_mouse_models43061.py	Six_mouse_models4407.py	Six_mouse_models24658.py	Six_mouse_models26804.py	Six_mouse_models17088.py	Six_mouse_models14155.py	Six_mouse_models2564.py	Six_mouse_models17178.py	Six_mouse_models1439.py	Six_mouse_models43407.py	Six_mouse_models48513.py	Six_mouse_models655.py	Six_mouse_models49081.py	Six_mouse_models32878.py	Six_mouse_models30124.py	Six_mouse_models46556.py	Six_mouse_models25663.py	Six_mouse_models39041.py	Six_mouse_models23784.py	Six_mouse_models4128.py	Six_mouse_models49200.py	Six_mouse_models5551.py	Six_mouse_models3269.py	Six_mouse_models15504.py	Six_mouse_models8585.py	Six_mouse_models19283.py	Six_mouse_models45856.py	Six_mouse_models22040.py	Six_mouse_models677.py	Six_mouse_models39562.py	Six_mouse_models11017.py	Six_mouse_models28548.py	Six_mouse_models2070.py	Six_mouse_models24474.py	Six_mouse_models21597.py	Six_mouse_models30079.py	Six_mouse_models41645.py	Six_mouse_models30179.py	Six_mouse_models9042.py	Six_mouse_models3660.py	Six_mouse_models17756.py	Six_mouse_models25517.py	Six_mouse_models36432.py	Six_mouse_models24703.py	Six_mouse_models20897.py	Six_mouse_models49893.py	Six_mouse_models28226.py	Six_mouse_models18989.py	Six_mouse_models46973.py	Six_mouse_models1007.py	Six_mouse_models20327.py	Six_mouse_models14974.py	Six_mouse_models23837.py	Six_mouse_models28097.py	Six_mouse_models29317.py	Six_mouse_models10170.py	Six_mouse_models43352.py	Six_mouse_models10486.py	Six_mouse_models31826.py	Six_mouse_models44200.py	Six_mouse_models41648.py	Six_mouse_models32.py	Six_mouse_models8255.py	Six_mouse_models19402.py	Six_mouse_models40438.py	Six_mouse_models4575.py	Six_mouse_models28537.py	Six_mouse_models7247.py	Six_mouse_models14262.py	Six_mouse_models24968.py	Six_mouse_models18368.py	Six_mouse_models8863.py	Six_mouse_models44251.py	Six_mouse_models24016.py	Six_mouse_models27791.py	Six_mouse_models12693.py	Six_mouse_models12049.py	Six_mouse_models4952.py	Six_mouse_models48880.py	Six_mouse_models47608.py	Six_mouse_models46675.py	
Six_mouse_models36432.py	1010.163	2378.934	390.85	989.365	405.821	2256.888	962.22	542.809	390.773	510.47	2269.555	431.788	413.15	2416.69	2259.166	2247.27	2249.974	2344.173	2256.227	2257.468	507.8	2255.496	2296.02	2263.894	514.563	625.426	2268.064	472.071	2296.145	2247.405	493.785	2360.489	499.511	1010.676	2283.508	357.643	2365.498	2282.998	2253.909	418.334	1041.488	2285.018	2302.046	2271.506	633.253	2249.273	468.213	521.699	477.971	481.141	2262.022	440.897	616.639	2263.234	647.616	0.0	2320.256	925.584	2280.964	183.85	2263.081	2354.035	394.406	540.148	2290.665	985.582	554.48	468.595	2265.929	495.05	588.796	2248.638	511.375	2254.489	205.608	542.666	2267.016	2237.844	2322.824	2287.961	2256.075	2245.239	569.416	2256.434	2271.724	554.318	497.909	2288.873	2271.796	453.236	2252.762	2272.388	414.85	2274.454	
Six_mouse_models24703.py	2210.486	688.679	2314.761	2225.286	2313.117	1054.245	2246.787	2229.238	2354.382	2275.705	962.495	2275.949	2279.046	512.105	1020.251	1053.77	1043.657	578.029	932.415	1048.749	2275.416	1026.664	843.796	1025.936	2253.766	2235.06	923.838	2250.35	837.723	957.131	2241.824	518.811	2246.713	2201.527	950.505	2299.613	597.649	932.808	976.341	2356.741	2184.67	818.348	979.987	793.261	2217.704	907.858	2323.836	2324.179	2272.744	2236.084	996.395	2305.605	2207.623	985.487	2166.216	2320.256	0.0	2203.02	798.85	2344.206	915.149	416.407	2291.238	2247.943	830.533	2146.519	2250.82	2298.137	864.421	2265.639	2209.862	1013.162	2292.362	1120.658	2303.917	2293.326	802.693	1030.038	884.435	871.271	1073.33	1051.949	2214.024	1062.452	813.385	2213.965	2229.413	999.503	1091.089	2254.56	1122.329	868.063	2344.641	1008.553	
Six_mouse_models20897.py	426.208	2248.037	864.63	501.043	841.921	2317.678	292.596	835.852	899.41	819.049	2275.036	831.239	850.297	2254.854	2291.722	2306.441	2326.691	2205.729	2258.55	2329.178	800.567	2306.541	2263.473	2306.823	828.545	862.83	2261.181	802.859	2269.457	2266.018	824.795	2248.169	827.408	450.613	2268.688	866.901	2228.769	2262.078	2254.657	940.252	468.203	2237.555	2297.25	2230.202	872.658	2266.745	874.319	835.791	831.592	831.578	2273.667	862.065	837.549	2326.068	843.573	925.584	2203.02	0.0	2259.645	946.891	2261.01	2213.824	851.361	825.004	2265.18	413.92	837.199	838.725	2283.345	812.447	844.793	2263.636	876.538	2347.398	909.148	818.562	2242.319	2303.674	2301.893	2272.294	2350.722	2326.191	850.695	2320.14	2225.34	803.159	858.875	2328.522	2334.464	784.1	2351.309	2280.207	936.544	2296.703	
Six_mouse_models49893.py	2245.919	933.097	2251.491	2245.822	2248.0	611.522	2292.877	2187.983	2281.904	2218.146	511.297	2236.239	2210.692	819.598	573.019	608.447	603.426	896.181	481.927	577.73	2220.598	565.909	283.234	593.434	2220.335	2192.854	487.794	2225.011	302.099	489.608	2210.569	859.572	2197.862	2238.909	527.856	2254.762	867.068	522.493	535.341	2272.126	2214.023	289.722	486.956	243.509	2167.737	454.805	2254.428	2227.793	2251.07	2206.899	514.452	2275.086	2174.26	585.435	2141.823	2280.964	798.85	2259.645	0.0	2288.115	472.249	815.69	2247.768	2219.463	202.608	2190.955	2220.993	2252.505	334.135	2246.253	2173.35	559.452	2243.361	680.073	2268.86	2221.959	202.217	607.569	369.868	340.831	625.531	585.998	2179.839	648.829	246.142	2196.867	2202.961	549.44	688.813	2237.539	688.887	362.443	2282.269	612.641	
Six_mouse_models28226.py	1009.9	2384.237	375.833	1001.769	426.115	2245.207	980.646	576.55	343.768	528.735	2257.246	474.677	475.961	2417.443	2253.178	2238.912	2239.666	2349.679	2253.29	2239.386	524.711	2244.048	2291.205	2257.149	538.899	595.853	2270.915	521.22	2298.762	2237.749	553.751	2381.45	522.575	1041.104	2281.946	408.265	2365.226	2282.796	2245.302	393.754	1087.43	2287.868	2286.748	2283.035	605.155	2253.276	441.338	509.08	462.429	541.033	2257.343	441.93	618.707	2248.35	671.712	183.85	2344.206	946.891	2288.115	0.0	2260.195	2372.064	429.525	586.674	2292.635	1020.961	578.689	505.429	2268.93	525.136	575.856	2242.125	488.999	2231.859	253.659	511.212	2277.551	2228.402	2308.859	2283.998	2236.088	2229.276	630.243	2245.686	2277.808	608.105	529.822	2282.601	2258.771	504.916	2228.733	2265.008	418.749	2263.153	
Six_mouse_models18989.py	2270.285	824.087	2225.872	2269.398	2248.463	413.572	2316.666	2236.326	2248.223	2198.827	206.84	2209.981	2196.412	873.833	401.562	405.719	563.229	950.521	216.412	387.985	2217.01	415.374	455.916	383.289	2197.511	2232.605	218.764	2200.769	442.748	297.777	2183.6	822.016	2180.221	2271.538	318.7	2245.22	772.262	243.296	264.17	2242.659	2256.851	471.097	583.594	489.073	2215.801	241.448	2221.444	2202.415	2217.596	2183.567	383.237	2248.597	2210.522	468.181	2194.16	2263.081	915.149	2261.01	472.249	2260.195	0.0	805.982	2230.252	2181.973	438.178	2215.72	2189.252	2222.823	341.588	2205.304	2214.261	356.541	2215.469	437.657	2258.687	2196.966	481.473	411.484	491.004	251.889	501.067	485.75	2169.03	448.158	499.718	2167.675	2185.217	663.214	493.241	2210.611	537.06	383.686	2253.771	369.138	
Six_mouse_models46973.py	2252.051	593.2	2340.218	2266.909	2354.213	950.04	2275.681	2284.202	2372.591	2300.694	854.412	2300.717	2301.835	515.205	928.967	956.455	965.706	674.219	828.815	942.031	2313.44	934.342	837.047	922.501	2278.597	2281.997	812.15	2274.145	832.629	857.708	2262.164	298.203	2269.439	2237.706	843.544	2336.712	486.102	819.248	866.344	2374.822	2236.908	813.315	964.306	822.207	2261.385	810.24	2337.986	2336.579	2285.96	2256.725	911.874	2335.834	2255.623	890.458	2217.803	2354.035	416.407	2213.824	815.69	2372.064	805.982	0.0	2315.823	2265.072	813.843	2183.453	2270.106	2320.692	809.008	2277.218	2257.587	913.703	2313.364	1002.043	2335.518	2305.394	834.317	942.843	872.347	781.92	990.228	971.188	2242.535	961.607	839.905	2235.619	2256.684	995.282	996.835	2279.608	1028.995	821.519	2375.421	888.741	
Six_mouse_models1007.py	945.599	2354.782	269.087	921.947	344.494	2227.837	895.044	448.827	311.424	396.355	2232.844	261.988	282.832	2379.674	2225.033	2234.929	2239.227	2308.838	2219.006	2244.443	398.781	2243.026	2262.469	2249.207	396.009	533.571	2229.057	318.684	2267.401	2210.21	361.431	2325.272	354.447	948.944	2246.33	268.901	2331.191	2244.021	2218.976	301.356	982.211	2254.205	2276.775	2239.787	573.796	2211.654	353.274	393.166	355.252	336.749	2238.515	282.577	531.671	2234.045	572.381	394.406	2291.238	851.361	2247.768	429.525	2230.252	2315.823	0.0	433.317	2259.233	908.054	430.9	334.71	2228.781	337.718	528.764	2215.811	396.247	2250.618	439.265	404.678	2239.361	2255.474	2295.626	2250.412	2263.77	2259.582	475.439	2265.801	2244.271	434.857	439.381	2301.101	2273.469	301.67	2257.093	2236.971	328.896	2258.497	
Six_mouse_models20327.py	905.177	2295.639	452.676	905.734	463.798	2210.265	895.441	501.521	482.2	273.873	2194.023	248.332	373.77	2350.24	2197.851	2241.791	2256.975	2253.961	2193.838	2232.247	326.439	2258.022	2221.137	2246.596	195.982	518.837	2186.823	226.688	2209.787	2177.257	158.13	2261.407	316.932	863.374	2216.109	463.958	2277.736	2193.828	2174.023	620.597	903.226	2207.537	2249.808	2199.883	540.629	2169.927	357.247	354.823	358.333	227.672	2207.275	359.281	471.982	2213.093	542.274	540.148	2247.943	825.004	2219.463	586.674	2181.973	2265.072	433.317	0.0	2216.395	841.866	176.684	244.706	2208.495	207.136	509.212	2172.793	383.334	2256.982	530.989	341.891	2198.562	2209.772	2258.814	2207.649	2280.475	2258.647	327.455	2247.902	2197.449	165.836	291.474	2301.399	2268.819	271.3	2278.7	2205.219	578.783	2242.909	
Six_mouse_models14974.py	2236.981	881.324	2256.487	2236.492	2256.811	551.815	2300.517	2193.852	2283.165	2224.032	449.593	2241.172	2223.533	801.609	535.118	548.993	567.056	859.198	457.728	525.528	2226.062	529.907	193.57	540.227	2219.927	2183.972	459.565	2230.631	207.217	459.063	2213.037	827.744	2203.864	2237.314	489.798	2270.684	826.275	466.533	474.274	2279.707	2219.79	222.867	365.602	217.163	2159.674	464.19	2250.098	2228.601	2245.872	2211.184	481.911	2276.585	2166.668	562.326	2145.022	2290.665	830.533	2265.18	202.608	2292.635	438.178	813.843	2259.233	2216.395	0.0	2186.045	2217.856	2256.242	412.622	2240.655	2166.337	509.351	2242.581	587.184	2276.926	2218.673	228.7	572.174	290.057	332.526	607.792	552.632	2190.573	595.307	213.806	2196.951	2205.137	506.719	622.706	2243.256	625.433	371.913	2290.82	530.389	
Six_mouse_models23837.py	422.182	2246.419	952.286	441.589	916.037	2305.278	492.93	801.19	987.443	886.254	2235.043	879.143	906.348	2234.76	2278.021	2287.156	2336.034	2155.86	2223.099	2300.986	858.708	2292.405	2192.136	2283.862	882.205	816.519	2231.486	869.741	2185.455	2244.801	854.367	2188.338	883.507	368.383	2245.253	949.721	2230.295	2228.537	2224.606	1041.582	356.743	2169.642	2228.917	2150.386	833.577	2228.562	950.775	869.015	902.509	866.944	2252.065	932.26	765.342	2322.588	784.818	985.582	2146.519	413.92	2190.955	1020.961	2215.72	2183.453	908.054	841.866	2186.045	0.0	870.478	900.38	2245.958	857.687	793.309	2241.642	945.392	2322.844	976.632	886.441	2166.501	2264.565	2221.918	2225.824	2322.914	2290.83	872.808	2287.259	2149.393	827.549	899.544	2267.433	2307.246	853.901	2328.621	2235.441	1027.218	2267.315	
Six_mouse_models28097.py	906.367	2291.161	419.977	918.769	460.138	2204.185	890.737	509.664	455.506	252.799	2195.613	289.936	380.583	2348.849	2187.726	2238.572	2248.521	2258.854	2197.697	2236.35	347.141	2252.505	2218.659	2243.51	162.606	495.895	2185.29	199.836	2215.84	2173.072	178.716	2268.109	281.87	858.478	2206.314	464.543	2274.649	2191.245	2169.373	603.402	906.423	2203.214	2243.337	2201.413	509.912	2178.419	329.214	376.692	316.974	222.42	2197.439	320.263	486.62	2212.135	529.335	554.48	2250.82	837.199	2220.993	578.689	2189.252	2270.106	430.9	176.684	2217.856	870.478	0.0	225.374	2214.094	234.552	500.156	2165.756	376.836	2259.031	518.639	323.338	2205.881	2212.396	2266.639	2207.247	2284.895	2258.419	336.628	2244.099	2203.874	195.677	244.285	2293.604	2261.685	312.202	2277.953	2212.146	563.294	2241.438	
Six_mouse_models29317.py	908.85	2340.026	315.504	902.387	332.619	2219.548	868.185	444.548	367.226	249.276	2225.588	200.859	291.425	2392.355	2210.383	2244.651	2249.41	2304.417	2221.96	2250.062	284.481	2262.766	2259.306	2258.134	209.39	518.165	2219.28	187.113	2252.718	2201.636	212.847	2317.743	322.761	909.073	2240.356	330.525	2327.578	2224.839	2202.726	498.454	930.305	2245.535	2272.9	2237.835	524.88	2204.698	275.664	315.305	368.395	264.801	2226.972	239.471	514.622	2231.935	556.182	468.595	2298.137	838.725	2252.505	505.429	2222.823	2320.692	334.71	244.706	2256.242	900.38	225.374	0.0	2235.397	255.135	524.875	2195.503	362.082	2258.886	491.848	348.75	2237.046	2244.861	2297.225	2243.537	2292.235	2275.32	401.989	2270.074	2241.568	306.245	309.351	2320.017	2277.245	269.504	2274.536	2235.472	407.802	2262.05	
Six_mouse_models10170.py	2306.045	882.211	2235.36	2303.303	2244.477	487.15	2334.797	2221.612	2260.308	2204.949	393.922	2218.591	2191.667	849.157	443.941	519.862	520.594	961.641	360.788	447.361	2215.829	491.707	474.986	507.536	2213.281	2241.392	362.527	2212.13	464.495	347.595	2198.811	861.571	2187.235	2299.192	448.837	2239.984	823.293	424.157	437.56	2242.243	2274.565	480.823	629.148	474.409	2215.295	260.562	2239.489	2212.141	2246.155	2197.668	407.928	2263.504	2220.637	420.894	2187.989	2265.929	864.421	2283.345	334.135	2268.93	341.588	809.008	2228.781	2208.495	412.622	2245.958	2214.094	2235.397	0.0	2235.152	2219.769	434.904	2228.29	596.218	2264.85	2209.72	398.78	495.064	502.54	261.744	524.862	521.504	2172.146	568.348	476.432	2190.605	2200.596	656.985	627.768	2224.722	623.216	274.107	2257.029	554.584	
Six_mouse_models43352.py	887.349	2309.625	375.553	886.033	441.042	2228.631	879.447	501.22	393.215	340.408	2214.982	245.616	376.29	2361.234	2221.009	2250.146	2265.44	2272.222	2211.797	2247.922	375.874	2264.442	2244.106	2257.346	253.53	494.643	2208.496	227.81	2238.119	2199.313	222.867	2274.72	329.62	884.171	2233.115	420.329	2289.696	2215.325	2194.51	505.039	935.229	2229.978	2270.171	2226.475	534.317	2196.384	300.725	385.653	242.733	239.087	2229.88	275.024	466.317	2234.02	547.843	495.05	2265.639	812.447	2246.253	525.136	2205.304	2277.218	337.718	207.136	2240.655	857.687	234.552	255.135	2235.152	0.0	495.495	2197.935	360.299	2258.676	499.204	352.019	2229.086	2238.131	2283.982	2230.996	2288.954	2273.29	423.701	2265.767	2226.832	239.694	342.175	2320.75	2281.052	196.983	2278.128	2231.914	494.419	2251.582	
Six_mouse_models10486.py	797.051	2313.225	504.542	812.472	471.034	2244.148	865.497	311.065	497.19	503.009	2221.577	495.835	532.892	2328.096	2228.399	2266.271	2261.871	2216.934	2227.374	2255.108	458.783	2269.489	2168.25	2275.425	486.812	166.972	2228.007	499.653	2171.306	2197.202	499.268	2252.907	486.718	823.115	2238.454	537.504	2295.268	2227.804	2195.251	591.694	865.881	2155.868	2197.714	2160.515	186.955	2209.209	492.427	505.316	451.333	495.01	2213.031	493.609	206.995	2241.942	266.932	588.796	2209.862	844.793	2173.35	575.856	2214.261	2257.587	528.764	509.212	2166.337	793.309	500.156	524.875	2219.769	495.495	0.0	2199.906	499.527	2279.931	564.881	466.0	2159.168	2230.294	2222.512	2205.647	2288.475	2254.934	547.007	2264.626	2153.921	508.103	484.214	2244.219	2285.307	509.033	2283.621	2193.639	609.663	2266.231	
Six_mouse_models31826.py	2272.501	807.727	2194.899	2283.726	2214.978	233.233	2315.27	2221.913	2228.817	2166.167	260.666	2191.284	2181.374	916.286	179.199	355.792	392.531	952.879	348.875	359.665	2179.411	395.021	487.853	388.638	2169.663	2212.218	314.777	2182.453	517.663	206.892	2174.021	922.847	2156.315	2287.352	305.481	2219.523	798.428	280.709	200.311	2224.203	2278.927	492.337	505.412	590.507	2187.76	396.437	2187.784	2179.856	2206.675	2178.556	248.819	2218.276	2201.307	370.752	2185.004	2248.638	1013.162	2263.636	559.452	2242.125	356.541	913.703	2215.811	2172.793	509.351	2241.642	2165.756	2195.503	434.904	2197.935	2199.906	0.0	2185.823	430.803	2247.281	2163.117	568.562	423.752	563.959	362.529	538.956	491.54	2159.551	433.496	587.216	2155.827	2162.48	644.488	457.486	2199.35	524.692	415.784	2216.491	413.569	
Six_mouse_models44200.py	940.434	2337.098	357.735	917.189	417.686	2209.341	942.721	512.643	364.792	339.946	2211.518	271.468	410.994	2391.68	2210.61	2244.655	2243.58	2291.735	2218.632	2227.901	339.126	2250.393	2240.315	2257.761	336.279	495.412	2220.509	377.006	2242.66	2183.986	383.267	2315.882	355.456	965.616	2238.383	432.712	2315.367	2227.535	2192.356	482.669	1014.649	2232.71	2255.601	2235.675	521.588	2202.105	274.309	368.303	359.945	374.62	2218.288	302.39	496.077	2213.317	574.224	511.375	2292.362	876.538	2243.361	488.999	2215.469	2313.364	396.247	383.334	2242.581	945.392	376.836	362.082	2228.29	360.299	499.527	2185.823	0.0	2246.496	506.529	320.638	2231.651	2230.015	2283.334	2230.832	2261.199	2254.266	478.837	2260.704	2230.285	404.04	404.903	2313.139	2270.852	354.023	2250.815	2217.764	484.985	2255.156	
Six_mouse_models41648.py	2365.213	803.443	2228.846	2365.278	2241.316	362.254	2390.715	2285.254	2226.236	2254.109	388.426	2249.338	2251.966	909.453	461.067	241.083	439.674	977.153	396.176	278.862	2247.41	339.704	585.794	272.08	2261.906	2294.752	444.473	2260.143	586.921	466.005	2256.014	979.415	2252.227	2385.352	464.846	2247.226	828.398	429.889	423.708	2204.547	2372.628	621.703	514.867	644.633	2286.3	546.329	2239.529	2243.857	2261.539	2258.853	462.769	2241.983	2285.358	495.996	2282.534	2254.489	1120.658	2347.398	680.073	2231.859	437.657	1002.043	2250.618	2256.982	587.184	2322.844	2259.031	2258.886	596.218	2258.676	2279.931	430.803	2246.496	0.0	2290.396	2244.883	660.621	517.486	507.457	543.979	463.755	448.097	2258.443	424.067	665.903	2248.028	2251.249	613.334	422.379	2252.402	381.578	573.846	2213.477	259.764	
Six_mouse_models32.py	1009.369	2380.047	431.896	1011.365	475.997	2277.409	956.85	590.841	406.152	476.667	2270.497	473.936	409.027	2419.905	2265.98	2275.31	2277.326	2339.44	2260.282	2275.631	542.495	2272.032	2281.887	2287.566	488.021	614.55	2265.12	458.756	2291.697	2241.784	471.902	2353.461	436.347	962.322	2277.973	412.854	2354.49	2283.573	2247.932	466.699	1016.306	2265.817	2313.147	2261.362	610.908	2247.99	475.765	544.756	418.932	445.939	2258.307	480.266	606.679	2272.848	605.909	205.608	2303.917	909.148	2268.86	253.659	2258.687	2335.518	439.265	530.989	2276.926	976.632	518.639	491.848	2264.85	499.204	564.881	2247.281	506.529	2290.396	0.0	504.116	2260.287	2231.302	2331.586	2273.763	2265.609	2248.662	486.626	2256.266	2258.472	511.763	436.602	2289.217	2284.755	472.203	2272.926	2274.156	516.861	2293.169	
Six_mouse_models8255.py	906.221	2328.692	367.476	931.16	423.466	2199.345	895.966	513.003	383.627	238.159	2191.677	327.608	370.335	2382.023	2185.261	2237.035	2236.512	2283.745	2201.872	2220.406	304.07	2241.886	2217.815	2251.042	257.947	468.606	2202.535	335.224	2223.481	2162.892	341.458	2314.181	281.427	900.784	2217.846	459.152	2306.432	2209.366	2167.997	519.915	963.389	2209.392	2236.925	2216.56	473.0	2182.156	273.765	282.75	339.627	374.195	2190.741	389.711	476.742	2198.663	542.776	542.666	2293.326	818.562	2221.959	511.212	2196.966	2305.394	404.678	341.891	2218.673	886.441	323.338	348.75	2209.72	352.019	466.0	2163.117	320.638	2244.883	504.116	0.0	2209.642	2207.128	2272.767	2207.249	2259.981	2240.284	398.324	2242.938	2205.649	351.721	346.376	2292.484	2263.467	390.954	2251.89	2195.736	551.416	2246.465	
Six_mouse_models19402.py	2224.769	919.079	2242.818	2222.358	2229.612	615.313	2274.437	2169.573	2273.773	2206.382	512.37	2218.975	2201.056	822.847	591.565	616.135	627.229	842.229	498.417	576.403	2199.34	601.785	287.6	611.77	2202.996	2178.736	516.517	2211.174	247.903	516.974	2195.233	853.101	2190.804	2222.388	574.316	2242.013	870.633	534.557	551.11	2272.207	2195.248	311.551	451.865	209.016	2156.55	470.853	2242.256	2212.688	2242.1	2196.118	552.61	2262.503	2156.412	600.736	2135.166	2267.016	802.693	2242.319	202.217	2277.551	481.473	834.317	2239.361	2198.562	228.7	2166.501	2205.881	2237.046	398.78	2229.086	2159.168	568.562	2231.651	660.621	2260.287	2209.642	0.0	615.124	310.387	414.446	638.409	613.093	2169.971	663.711	188.479	2179.838	2189.02	559.418	701.707	2222.249	689.687	364.845	2272.574	621.394	
Six_mouse_models40438.py	2308.82	876.435	2231.571	2314.523	2254.389	473.444	2358.812	2259.246	2257.384	2212.858	414.418	2234.384	2217.826	978.02	467.587	488.179	587.339	1015.234	481.921	424.132	2229.392	514.53	592.185	493.04	2215.316	2250.321	462.645	2226.736	579.868	420.721	2212.078	972.323	2200.936	2311.766	504.959	2256.73	851.487	467.1	424.938	2249.593	2301.396	614.176	654.667	643.453	2224.503	448.231	2232.799	2221.726	2241.889	2216.509	398.407	2267.697	2236.203	494.881	2219.329	2237.844	1030.038	2303.674	607.569	2228.402	411.484	942.843	2255.474	2209.772	572.174	2264.565	2212.396	2244.861	495.064	2238.131	2230.294	423.752	2230.015	517.486	2231.302	2207.128	615.124	0.0	635.337	447.998	324.771	315.859	2193.182	275.998	624.896	2197.69	2195.899	552.141	313.193	2242.794	353.393	500.832	2253.515	508.729	
Six_mouse_models4575.py	2273.728	851.301	2295.11	2267.909	2291.4	553.652	2334.368	2234.06	2303.217	2276.96	497.295	2277.036	2271.489	782.835	597.093	506.258	557.307	807.895	458.511	498.49	2264.348	509.324	319.479	500.488	2270.757	2239.043	501.217	2275.664	283.878	542.691	2259.814	858.273	2259.619	2288.274	546.424	2305.316	837.654	498.039	543.712	2279.708	2256.746	343.499	338.932	281.262	2219.488	547.239	2296.167	2271.692	2298.827	2258.318	573.769	2306.531	2217.222	605.668	2201.679	2322.824	884.435	2301.893	369.868	2308.859	491.004	872.347	2295.626	2258.814	290.057	2221.918	2266.639	2297.225	502.54	2283.982	2222.512	563.959	2283.334	507.457	2331.586	2272.767	310.387	635.337	0.0	480.952	585.95	563.93	2245.187	605.863	309.672	2242.251	2259.339	507.584	620.582	2278.237	584.363	450.397	2297.893	482.993	
Six_mouse_models28537.py	2274.26	859.087	2244.11	2278.925	2263.547	445.93	2324.378	2235.916	2269.63	2209.58	291.961	2233.528	2213.063	854.726	384.02	483.284	523.355	955.769	332.639	456.068	2228.818	454.321	364.69	463.676	2212.749	2224.431	289.528	2220.283	388.21	272.043	2204.312	824.169	2190.914	2272.004	331.696	2265.552	785.041	308.52	316.001	2264.832	2260.268	376.959	545.817	444.854	2198.014	282.237	2237.65	2219.947	2235.644	2203.198	345.548	2268.641	2206.889	446.084	2179.19	2287.961	871.271	2272.294	340.831	2283.998	251.889	781.92	2250.412	2207.649	332.526	2225.824	2207.247	2243.537	261.744	2230.996	2205.647	362.529	2230.832	543.979	2273.763	2207.249	414.446	447.998	480.952	0.0	542.001	504.008	2180.68	502.883	433.729	2188.331	2198.838	623.343	542.374	2233.891	587.575	299.626	2277.423	470.318	
Six_mouse_models7247.py	2378.663	902.58	2247.758	2380.852	2269.702	533.833	2402.713	2304.028	2242.551	2270.988	502.926	2274.175	2253.799	935.84	563.37	435.158	537.707	1027.405	480.018	391.889	2275.809	406.755	634.449	435.208	2284.478	2312.45	523.193	2278.79	659.988	517.672	2271.563	1040.401	2252.085	2374.268	541.843	2264.323	873.663	565.851	550.161	2210.569	2356.228	659.405	651.987	651.625	2297.254	554.006	2264.385	2267.82	2275.588	2268.566	488.538	2275.997	2298.314	543.448	2277.01	2256.075	1073.33	2350.722	625.531	2236.088	501.067	990.228	2263.77	2280.475	607.792	2322.914	2284.895	2292.235	524.862	2288.954	2288.475	538.956	2261.199	463.755	2265.609	2259.981	638.409	324.771	585.95	542.001	0.0	189.227	2246.815	271.268	650.926	2262.083	2260.893	463.566	343.767	2273.257	220.791	578.693	2241.218	469.529	
Six_mouse_models14262.py	2341.766	881.453	2241.067	2346.339	2262.633	489.169	2377.148	2279.823	2248.839	2249.202	472.203	2263.133	2238.148	918.877	519.235	397.36	477.246	1002.335	450.945	391.324	2259.185	372.124	562.289	413.413	2260.938	2279.485	503.97	2260.085	610.555	470.025	2251.093	1011.449	2229.008	2340.893	492.717	2260.206	862.481	529.349	486.45	2222.398	2327.333	587.762	581.733	617.724	2258.677	552.943	2255.837	2251.784	2263.963	2249.149	441.307	2274.954	2263.651	530.55	2237.629	2245.239	1051.949	2326.191	585.998	2229.276	485.75	971.188	2259.582	2258.647	552.632	2290.83	2258.419	2275.32	521.504	2273.29	2254.934	491.54	2254.266	448.097	2248.662	2240.284	613.093	315.859	563.93	504.008	189.227	0.0	2225.299	232.385	627.073	2237.496	2237.222	399.331	305.454	2263.499	202.836	549.721	2245.351	434.354	
Six_mouse_models24968.py	976.217	2295.612	532.758	992.0	536.067	2202.712	924.207	564.858	540.415	277.266	2182.606	394.359	340.926	2322.408	2177.645	2226.604	2227.856	2250.736	2174.746	2218.479	443.129	2222.73	2195.616	2229.649	298.076	592.965	2170.324	313.3	2204.64	2152.865	250.966	2264.087	269.174	837.96	2188.615	480.635	2261.111	2190.929	2163.808	648.651	890.983	2180.754	2233.58	2172.322	580.232	2154.028	492.969	476.642	426.639	260.229	2179.114	495.082	546.403	2191.056	498.664	569.416	2214.024	850.695	2179.839	630.243	2169.03	2242.535	475.439	327.455	2190.573	872.808	336.628	401.989	2172.146	423.701	547.007	2159.551	478.837	2258.443	486.626	398.324	2169.971	2193.182	2245.187	2180.68	2246.815	2225.299	0.0	2224.811	2169.339	265.291	282.211	2260.663	2258.767	404.478	2264.626	2185.778	664.354	2234.125	
Six_mouse_models18368.py	2331.502	842.397	2244.54	2340.304	2267.178	448.406	2371.937	2292.382	2260.872	2246.019	427.691	2264.084	2242.322	932.285	451.552	365.319	504.154	1010.392	431.081	429.735	2262.526	371.379	576.624	375.066	2249.873	2285.938	442.145	2253.585	630.431	447.592	2244.58	979.605	2226.989	2331.342	410.369	2264.608	834.465	441.698	415.379	2233.272	2322.587	582.16	589.347	649.533	2260.917	552.569	2257.424	2257.727	2262.976	2244.797	415.635	2276.366	2269.345	554.637	2244.314	2256.434	1062.452	2320.14	648.829	2245.686	448.158	961.607	2265.801	2247.902	595.307	2287.259	2244.099	2270.074	568.348	2265.767	2264.626	433.496	2260.704	424.067	2256.266	2242.938	663.711	275.998	605.863	502.883	271.268	232.385	2224.811	0.0	665.079	2225.746	2229.121	430.859	171.849	2262.763	241.18	582.574	2245.989	391.093	
